forecaster_id,location,location_name,inc,type,forecast_date,forecast_week,expert,leaderboard,assigned_forecast_type,forecast_type,distribution,median,lower_90,upper_90,width,horizon,target_end_date,assigned_baseline_model,chosen_baseline_model,submission_date,forecast_duration
253412,GM,Germany,incident,cases,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,134260,95901,171505,0.1,1,2021-01-09,constant,constant,2021-01-04T00:00:00Z,
253412,GM,Germany,incident,cases,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,138381,95901,171505,0.15,2,2021-01-16,constant,constant,2021-01-04T00:00:00Z,
253412,GM,Germany,incident,cases,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,141879,95901,171505,0.2,3,2021-01-23,constant,constant,2021-01-04T00:00:00Z,
253412,GM,Germany,incident,cases,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,144003,95901,171505,0.25,4,2021-01-30,constant,constant,2021-01-04T00:00:00Z,
253412,GM,Germany,incident,deaths,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,4857,3352,6143,0.15,1,2021-01-09,constant,constant,2021-01-04T00:00:00Z,56.7728004455567
253412,GM,Germany,incident,deaths,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,5566,3352,6143,0.2,2,2021-01-16,constant,constant,2021-01-04T00:00:00Z,56.7728004455567
253412,GM,Germany,incident,deaths,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,6198,3352,6143,0.25,3,2021-01-23,constant,constant,2021-01-04T00:00:00Z,56.7728004455567
253412,GM,Germany,incident,deaths,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,6570,3352,6143,0.3,4,2021-01-30,constant,constant,2021-01-04T00:00:00Z,56.7728004455567
253412,PL,Poland,incident,cases,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,60885,36206,58960,0.148228415190331,1,2021-01-09,constant,constant,2021-01-04T00:00:00Z,131.274466514587
253412,PL,Poland,incident,cases,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,60069,36206,58960,0.2,2,2021-01-16,constant,constant,2021-01-04T00:00:00Z,131.274466514587
253412,PL,Poland,incident,cases,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,67139,36206,58960,0.25,3,2021-01-23,constant,constant,2021-01-04T00:00:00Z,131.274466514587
253412,PL,Poland,incident,cases,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,67682,36206,58960,0.3,4,2021-01-30,constant,constant,2021-01-04T00:00:00Z,131.274466514587
253412,PL,Poland,incident,deaths,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,1217,1280,1898,0.2,1,2021-01-09,constant,constant,2021-01-04T00:00:00Z,47.4123454093933
253412,PL,Poland,incident,deaths,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,967,1280,1898,0.25,2,2021-01-16,constant,constant,2021-01-04T00:00:00Z,47.4123454093933
253412,PL,Poland,incident,deaths,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,831,1280,1898,0.3,3,2021-01-23,constant,constant,2021-01-04T00:00:00Z,47.4123454093933
253412,PL,Poland,incident,deaths,2021-01-04T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,744,1280,1898,0.35,4,2021-01-30,constant,constant,2021-01-04T00:00:00Z,47.4123454093933
215393,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,126939,95901,171505,0.1,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,
215393,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,114195,95901,171505,0.15,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,
215393,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,102028,95901,171505,0.2,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,
215393,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,91157,95901,171505,0.25,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,
215393,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,4538,3352,6143,0.25,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,25.1055326461792
215393,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,3891,3352,6143,0.3,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,25.1055326461792
215393,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,3671,3352,6143,0.35,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,25.1055326461792
215393,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,3514,3352,6143,0.4,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,25.1055326461792
215393,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,81214,36206,58960,0.25,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,24.0151734352112
215393,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,63483,36206,58960,0.3,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,24.0151734352112
215393,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,62583,36206,58960,0.35,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,24.0151734352112
215393,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,65556,36206,58960,0.4,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,24.0151734352112
215393,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,2298,1280,1898,0.2,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,43.1879739761353
215393,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,1818,1280,1898,0.25,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,43.1879739761353
215393,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,1608,1280,1898,0.3,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,43.1879739761353
215393,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,1477,1280,1898,0.35,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,43.1879739761353
648181,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,fifth-power-normal,157160,95901,171505,0.3,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,
648181,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,fifth-power-normal,181655,95901,171505,0.45,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,
648181,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,fifth-power-normal,215160,95901,171505,0.58,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,
648181,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,fifth-power-normal,285602,95901,171505,0.68,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,
648181,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,cubic-normal,4867,3352,6143,0.5,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,89.1611709594727
648181,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,cubic-normal,5465,3352,6143,0.8,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,89.1611709594727
648181,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,cubic-normal,6230,3352,6143,1.2,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,89.1611709594727
648181,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,cubic-normal,7412,3352,6143,1.6,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,89.1611709594727
648181,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,fifth-power-normal,51505,36206,58960,0.36,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,103.140855789185
648181,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,fifth-power-normal,59876,36206,58960,0.5,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,103.140855789185
648181,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,fifth-power-normal,73763,36206,58960,0.6,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,103.140855789185
648181,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,fifth-power-normal,102227,36206,58960,0.8,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,103.140855789185
648181,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,fifth-power-normal,1559,1280.3599139816,1898.27951770359,0.119708748331242,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,3.84803104400635
648181,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,fifth-power-normal,1559,1280.3599139816,1898.27951770359,0.119708748331242,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,3.84803104400635
648181,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,fifth-power-normal,1559,1280.3599139816,1898.27951770359,0.119708748331242,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,3.84803104400635
648181,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,fifth-power-normal,1559,1280.3599139816,1898.27951770359,0.119708748331242,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,3.84803104400635
648181,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,cubic-normal,1325,1280,1898,0.8,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,52.6669087409973
648181,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,cubic-normal,1026,1280,1898,1.2,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,52.6669087409973
648181,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,cubic-normal,1336,1280,1898,1.6,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,52.6669087409973
648181,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,cubic-normal,1950,1280,1898,2,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,52.6669087409973
996366,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,121077,95901,171505,0.11,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,
996366,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,125264.083621294,95901,171505,0.16,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,
996366,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,134394,95901,171505,0.23,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,
996366,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,135460,95901,171505,0.33,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,
996366,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,4942,3352,6143,0.1,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,2.0727469364802
996366,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,5341,3352,6143,0.15,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,2.0727469364802
996366,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,5650,3352,6143,0.21,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,2.0727469364802
996366,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,5800,3352,6143,0.26,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,2.0727469364802
56953,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,143649,95901,171505,0.08,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,
56953,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,131287,95901,171505,0.12,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,
56953,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,117307,95901,171505,0.16,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,
56953,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,100592,95901,171505,0.2,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,
996366,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,60160,52191,62714,0.11,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,19.0996416012446
996366,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,62640,52191,62714,0.15,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,19.0996416012446
996366,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,64009,52191,62714,0.2,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,19.0996416012446
996366,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,64825,52191,62714,0.25,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,19.0996416012446
515822,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,109611,95901,171505,0.1,1,2021-01-09,constant,constant,2021-01-04T00:00:00Z,
515822,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,89921,95901,171505,0.15,2,2021-01-16,constant,constant,2021-01-04T00:00:00Z,
515822,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,81444,95901,171505,0.2,3,2021-01-23,constant,constant,2021-01-04T00:00:00Z,
515822,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,76128,95901,171505,0.3,4,2021-01-30,constant,constant,2021-01-04T00:00:00Z,
515822,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,4812,3352,6143,0.15,1,2021-01-09,constant,constant,2021-01-04T00:00:00Z,55.0010900497437
515822,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,4537.87888316488,3352,6143,0.25,2,2021-01-16,constant,constant,2021-01-04T00:00:00Z,55.0010900497437
515822,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,4152,3352,6143,0.3,3,2021-01-23,constant,constant,2021-01-04T00:00:00Z,55.0010900497437
515822,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,3300,3352,6143,0.4,4,2021-01-30,constant,constant,2021-01-04T00:00:00Z,55.0010900497437
56953,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,137468,95901.4988354112,171504.613626819,0.08,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,536.17324924469
56953,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,131805,95901.4988354112,171504.613626819,0.12,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,536.17324924469
56953,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,119947,95901.4988354112,171504.613626819,0.16,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,536.17324924469
56953,GM,Germany,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,100628,95901.4988354112,171504.613626819,0.2,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,536.17324924469
996366,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,normal,1910,1860,2064,150,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,1.7440447807312
996366,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,normal,1940,1860,2064,220,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,1.7440447807312
996366,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,normal,1959,1860,2064,290,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,1.7440447807312
996366,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,normal,1959,1860,2064,370,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,1.7440447807312
56953,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,4538.0440207569,3352,6143,0.08,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,59.9631633758545
56953,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,4538,3352,6143,0.12,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,59.9631633758545
56953,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,4538,3352,6143,0.16,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,59.9631633758545
56953,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,4375,3352,6143,0.2,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,59.9631633758545
515822,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,51035,52191,62714,0.1,1,2021-01-09,constant,constant,2021-01-04T00:00:00Z,86.4215831756592
515822,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,45202,52191,62714,0.15,2,2021-01-16,constant,constant,2021-01-04T00:00:00Z,86.4215831756592
515822,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,41788,52191,62714,0.2,3,2021-01-23,constant,constant,2021-01-04T00:00:00Z,86.4215831756592
515822,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,39609,52191,62714,0.25,4,2021-01-30,constant,constant,2021-01-04T00:00:00Z,86.4215831756592
515822,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,1700,1860,2064,0.1,1,2021-01-09,constant,constant,2021-01-04T00:00:00Z,49.899845123291
515822,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,1550,1860,2064,0.15,2,2021-01-16,constant,constant,2021-01-04T00:00:00Z,49.899845123291
515822,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,1446,1860,2064,0.2,3,2021-01-23,constant,constant,2021-01-04T00:00:00Z,49.899845123291
515822,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,yes,distribution,distribution,log-normal,1360,1860,2064,0.3,4,2021-01-30,constant,constant,2021-01-04T00:00:00Z,49.899845123291
56953,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,62378,52191,62714,0.08,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,98.4891052246094
56953,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,63465,52191,62714,0.12,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,98.4891052246094
56953,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,59387,52191,62714,0.16,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,98.4891052246094
56953,PL,Poland,incident,cases,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,54493,52191,62714,0.2,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,98.4891052246094
56953,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,1791,1860,2064,0.08,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,53.0640029907227
56953,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,1660,1860,2064,0.12,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,53.0640029907227
56953,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,1568,1860,2064,0.16,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,53.0640029907227
56953,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,1497,1860,2064,0.2,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,53.0640029907227
56953,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,1791,1860,2064,0.08,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,9.62754344940186
56953,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,1660,1860,2064,0.12,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,9.62754344940186
56953,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,1568,1860,2064,0.16,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,9.62754344940186
56953,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,FALSE,yes,distribution,distribution,log-normal,1497,1860,2064,0.2,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,9.62754344940186
89444,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,anonymous,distribution,distribution,log-normal,4538,3352,6143,0.18412183433201,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,
89444,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,anonymous,distribution,distribution,log-normal,4700,3352,6143,0.22,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,
89444,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,anonymous,distribution,distribution,log-normal,4720,3352,6143,0.25,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,
89444,GM,Germany,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,anonymous,distribution,distribution,log-normal,4700,3352,6143,0.3,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,
89444,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,anonymous,distribution,distribution,log-normal,1842,1860,2064,0.03,1,2021-01-09,zero,constant,2021-01-04T00:00:00Z,1.83576052188873
89444,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,anonymous,distribution,distribution,log-normal,1725,1860,2064,0.05,2,2021-01-16,zero,constant,2021-01-04T00:00:00Z,1.83576052188873
89444,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,anonymous,distribution,distribution,log-normal,1665,1860,2064,0.08,3,2021-01-23,zero,constant,2021-01-04T00:00:00Z,1.83576052188873
89444,PL,Poland,incident,deaths,2021-01-05T00:00:00Z,1,TRUE,anonymous,distribution,distribution,log-normal,1617,1860,2064,0.12,4,2021-01-30,zero,constant,2021-01-04T00:00:00Z,1.83576052188873
