location,location_name,inc,type,forecast_date,forecast_time,forecast_week,expert,median,shape_log_normal,horizon,target_end_date,zero_baseline,forecaster_id,quantile,value,target
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.01,71773.5895167572,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.025,73638.1656694732,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.05,75280.502599363,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.1,77219.5231769948,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.15,78555.9090340519,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.2,79634.5018437969,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.25,80571.6332702179,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.3,81422.6011318201,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.35,82219.1705213663,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.4,82982.2416036049,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.45,83727.261658885,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.5,84467,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.55,85213.2739999014,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.6,85978.3244116421,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.65,86776.2839707306,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.7,87625.2292339474,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.75,88550.694573511,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.8,89592.7509284188,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.85,90822.8824124144,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.9,92394.6923713401,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.95,94774.5278345201,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.975,96888.2647216414,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,84467,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.99,99405.2845487719,1 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.01,82173.5566946393,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.025,84928.3623834704,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.05,87371.4034812692,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.1,90275.4203390736,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.15,92289.0831889217,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.2,93921.4648964283,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.25,95344.8945918045,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.3,96641.5543633329,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.35,97858.8390370347,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.4,99028.0976958529,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.45,100172.664599302,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.5,101312,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.55,102464.293877548,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.6,103648.576341681,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.65,104887.013222337,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.7,106208.156642546,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.75,107652.5532693,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.8,109284.084903475,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.85,111217.069119526,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.9,113697.8515907,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.95,117476.896730868,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.975,120856.225834842,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,101312,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.99,124907.838444209,2 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.01,96767.5262862295,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.025,100747.127937286,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.05,104300.466318263,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.1,108553.057175747,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.15,111519.789454609,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.2,113935.374374714,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.25,116049.388029568,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.3,117981.245512127,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.35,119800.095229986,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.4,121551.92655686,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.45,123271.221880045,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.5,124987,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.55,126726.659562128,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.6,128519.149070767,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.65,130398.478724163,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.7,132408.757859691,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.75,134612.947420453,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.8,137110.623059198,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.85,140080.520644799,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.9,143908.891886005,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.95,149776.417310846,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.975,155059.012488419,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,124987,0.11,3,2020-11-14T00:00:00Z,TRUE,,0.99,161435.873877692,3 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.01,113488.181817014,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.025,119024.411672112,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.05,124001.412747045,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.1,129998.410914254,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.15,134207.564395294,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.2,137649.853844968,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.25,140673.31153317,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.3,143445.025396007,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.35,146062.157810011,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.4,148589.698583893,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.45,151076.745353327,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.5,153565,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.55,156094.236540824,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.6,158706.891862262,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.65,161453.244143322,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.7,164398.933737137,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.75,167638.118190169,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.8,171320.263453095,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.85,175714.456418724,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.9,181403.826855659,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.95,190176.939944274,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.975,198129.181179776,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:11:50.970918Z,44,TRUE,153565,0.13,4,2020-11-21T00:00:00Z,TRUE,,0.99,207794.405086368,4 wk ahead inc case
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.01,247.269520041867,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.025,253.693231792495,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.05,259.351299991886,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.1,266.031482644175,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.15,270.63550888405,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.2,274.351403939348,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.25,277.579945796979,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.3,280.511642764152,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.35,283.255929791724,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.4,285.884810714824,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.45,288.45150345976,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.5,291,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.55,293.571012750202,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.6,296.206712725536,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.65,298.955789071266,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.7,301.880517919172,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.75,305.068868562772,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.8,308.65889069305,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.85,312.896856547676,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.9,318.311949993015,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.95,326.510798298097,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.975,333.792901772262,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,291,0.07,1,2020-10-31T00:00:00Z,TRUE,,0.99,342.464368376912,1 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,326,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.01,264.416648397548,2 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,326,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.025,273.281014460393,2 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,326,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.05,281.142189818519,2 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,326,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.1,290.486684998203,2 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,326,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.15,296.966214462141,2 wk ahead inc death
GM,Germany,incident,quantile,2020-10-27T00:00:00Z,2020-10-27T11:13:01.226188Z,44,TRUE,326,0.09,2,2020-11-07T00:00:00Z,TRUE,,0.2,302.218864065812,2 wk ahead inc death
